t,start,end,cause,vn,ws,lid_now,lid_before,rh,hour,south,nw10
2013-12-10 01:00:00,24.1,65.8,lid collapse at dusk,-0.11863405519862995,0.9171428571428573,15.0,1700.0,41.42857142857143,1,,
2013-12-11 21:00:00,26.9,70.6,lid collapse at dusk,-1.2838057442394981,2.7128571428571426,20.0,2625.0,30.0,21,,
2013-12-14 17:00:00,30.7,78.1,unclear,1.1651843698466313,2.6228571428571428,45.0,695.0,18.285714285714285,17,,
2013-12-18 17:00:00,23.3,64.8,lid collapse at dusk,-1.5959477403260853,2.822857142857143,185.0,890.0,31.857142857142858,17,,
2013-12-20 23:00:00,19.9,62.3,lid collapse at dusk,1.282399346824077,2.025714285714286,15.0,1465.0,39.0,23,,
2013-12-23 21:00:00,55.2,169.4,calm + low lid (local build-up),-0.9703378291455158,1.9885714285714282,15.0,705.0,33.42857142857143,21,,
2013-12-28 23:00:00,16.0,60.6,lid collapse at dusk,-3.157482015986518,5.511428571428572,70.0,1430.0,26.714285714285715,23,,
2013-12-30 20:00:00,27.7,92.8,lid collapse at dusk,-1.6868957198686307,4.702857142857143,40.0,2030.0,23.714285714285715,20,,
2014-01-01 20:00:00,26.0,84.6,lid collapse at dusk,-2.439725645680233,4.004285714285714,20.0,1505.0,29.142857142857142,20,,
2014-01-03 20:00:00,19.7,66.1,lid collapse at dusk,-0.6399478550986678,2.3757142857142854,20.0,1090.0,34.714285714285715,20,,
2014-01-05 20:00:00,26.4,70.9,lid collapse at dusk,-1.5769910381382986,3.494285714285714,40.0,965.0,40.857142857142854,20,,
2014-01-09 20:00:00,14.6,61.8,lid collapse at dusk,-2.41911137517913,3.967142857142857,65.0,1775.0,20.714285714285715,20,,
2014-01-12 21:00:00,11.4,66.0,lid collapse at dusk,-4.327887446931447,5.085714285714286,105.0,1745.0,24.571428571428573,21,,
2014-01-15 19:00:00,88.7,328.9,unclear,-2.1024350087427,2.207142857142857,20.0,565.0,35.285714285714285,19,,
2014-01-21 21:00:00,38.7,98.2,lid collapse at dusk,-5.390618631400764,5.614285714285714,110.0,1275.0,26.714285714285715,21,,
2014-01-30 19:00:00,14.9,97.8,fireworks (CNY),-3.6342398306845825,4.2057142857142855,65.0,1165.0,20.857142857142858,19,,
2014-02-04 20:00:00,19.8,78.9,lid collapse at dusk,-2.955099728333734,3.204285714285714,85.0,1370.0,14.857142857142858,20,,
2014-02-10 22:00:00,23.2,63.9,lid collapse at dusk,-3.431352432354988,3.595714285714286,25.0,1100.0,40.857142857142854,22,,
2014-02-12 19:00:00,53.3,143.6,lid collapse at dusk,-2.2019484907933498,2.8371428571428576,25.0,1270.0,33.42857142857143,19,,
2014-02-19 20:00:00,18.9,69.6,lid collapse at dusk,-2.571261621769961,3.645714285714285,65.0,1880.0,38.142857142857146,20,,
2014-02-28 01:00:00,15.2,61.8,lid collapse at dusk,-1.7014020532947558,2.128571428571429,15.0,1765.0,56.0,1,,
2014-03-01 21:00:00,10.7,71.5,lid collapse at dusk,-3.254095766077184,4.567142857142857,55.0,2390.0,26.571428571428573,21,,
2014-03-07 01:00:00,22.7,64.4,lid collapse at dusk,-5.8171979674487195,6.025714285714285,70.0,3680.0,36.0,1,,
2014-03-18 14:00:00,23.9,66.2,unclear,-2.227246184384167,3.1242857142857146,65.0,220.0,32.57142857142857,14,,
2014-03-22 21:00:00,17.9,60.1,lid collapse at dusk,1.7869949784237167,5.380000000000001,50.0,2680.0,16.142857142857142,21,,
2014-03-31 00:00:00,18.8,66.1,lid collapse at dusk,-5.089503652238144,5.138571428571429,65.0,2795.0,26.428571428571427,0,,
2014-05-05 21:00:00,19.0,61.8,lid collapse at dusk,-3.3787869286796672,5.517142857142858,195.0,4320.0,14.0,21,,
